User-ID;Age
254;24
388;35
424;29
503;40
638;20
651;26
735;29
741;16
805;34
882;23
901;21
929;36
1025;33
1131;22
1167;25
1184;38
1435;36
1548;28
1674;26
1733;30
1848;22
1903;36
1928;17
2012;34
2033;27
2090;28
2179;30
2276;46
2288;30
2313;23
2337;34
2358;23
2766;42
2790;50
2793;34
2977;25
3145;34
3167;42
3282;52
3331;60
3346;20
3363;29
3371;25
3373;30
3556;68
3719;18
3827;23
3840;46
3917;25
4017;48
4092;27
4157;39
4334;38
4385;33
4622;18
4785;30
4795;18
4938;30
5037;26
5439;66
5483;20
5499;60
5539;32
5543;29
5582;26
5609;25
5728;22
5903;25
6073;28
6238;38
6251;32
6323;35
6333;45
6345;29
6431;30
6537;28
6543;34
6563;31
6577;62
6611;22
6662;31
6671;54
6769;56
6866;51
6900;25
7125;28
7128;8
7134;23
7158;30
7283;30
7286;28
7312;23
7346;49
7352;53
7371;26
7569;22
7620;21
7887;23
7958;27
8067;26
8234;44
8245;31
8250;34
8253;26
8284;28
8313;36
8314;36
8323;48
8362;28
8487;30
8672;17
8681;34
8801;24
8864;26
8870;45
8872;65
8936;18
8937;37
8971;27
9094;14
9141;65
9227;24
9354;30
9373;40
9408;34
9417;26
9613;34
9660;35
9856;22
9908;36
10001;47
10030;66
10067;61
10118;44
10199;17
10241;27
10354;15
10560;27
10590;22
10819;27
11120;58
11224;51
11400;49
11629;21
11657;25
11687;47
11709;29
11724;42
11944;21
11993;37
12100;26
12112;40
12154;41
12238;31
12272;18
12538;18
12569;22
12698;32
12702;31
12784;57
12824;18
12863;29
12917;24
12982;41
12990;58
13093;29
13104;25
13518;27
13540;15
13552;32
13582;29
13850;28
13935;36
13973;18
14079;41
14230;30
14374;57
14387;35
14449;72
14451;26
14456;27
14638;33
14744;27
14768;24
14897;24
15021;37
15049;28
15408;34
15418;23
15497;38
15602;21
15651;23
15918;23
15945;36
15957;27
16009;25
16106;44
16121;37
16155;47
16161;28
16220;30
16246;32
16488;36
16504;28
16599;33
16601;40
16634;42
16718;29
16755;58
16795;47
16835;28
16871;26
16908;55
16916;53
16949;49
16966;41
16996;23
16999;48
17058;35
17177;67
17183;23
17190;31
17233;54
17282;38
17507;37
17667;33
17859;43
17894;47
17906;61
17950;32
17970;40
18012;24
18067;33
18082;38
18095;30
18155;26
18172;36
18250;31
18439;38
18979;36
19018;25
19085;60
19487;56
19522;54
19573;69
19664;19
19681;44
20060;48
20106;31
20115;32
20119;51
20149;53
20172;27
20180;36
20201;31
20265;29
20336;32
20347;45
20409;51
20561;40
20680;41
20971;20
21011;44
21031;36
21049;55
21202;67
21207;42
21252;28
21356;56
21364;32
21370;36
21484;21
21576;31
21618;24
21659;31
21708;44
21774;21
21875;43
22023;35
22062;52
22089;25
22107;45
22154;36
22200;36
22252;38
22338;33
22365;51
22495;29
22521;18
22624;28
22625;54
22818;28
22912;37
23124;22
23128;40
23511;56
23547;26
23571;41
23582;37
23619;34
23659;41
23699;25
23703;27
23768;45
23816;41
23872;22
23933;43
24090;59
24105;34
24186;36
24194;20
24379;25
24391;55
24433;37
24452;42
24525;28
24544;40
24627;36
24733;32
24921;29
24933;44
24941;13
24995;56
25009;39
25105;62
25216;33
25225;55
25253;47
25261;67
25395;65
25409;31
25436;30
25533;38
25601;41
25630;46
25695;32
25792;29
25827;33
25850;50
25916;24
25996;36
26057;18
26084;21
26134;39
26145;24
26182;30
26196;17
26231;36
26371;65
26418;29
26487;44
26516;67
26535;41
26538;32
26544;37
26713;39
26730;13
26813;28
26831;28
27091;21
27140;49
27193;29
27383;59
27472;41
27551;56
27617;32
27740;57
27812;33
27813;34
27821;25
27947;28
28016;31
28076;25
28096;44
28177;26
28204;61
28222;23
28255;23
28360;15
28451;31
28454;50
28492;31
28523;24
28591;33
28594;18
28634;28
28666;31
28667;26
28735;58
28865;39
28877;68
28938;38
29101;38
29259;39
29526;26
29570;24
29855;53
29915;38
30029;37
30035;37
30072;11
30081;25
30125;15
30245;41
30261;27
30273;25
30276;49
30312;25
30319;41
30324;33
30445;23
30487;40
30495;19
30531;23
30555;22
30594;25
30642;18
30711;32
30716;23
30744;31
30770;39
30806;24
30824;45
30887;38
30898;43
30971;67
30972;47
31008;29
31010;60
31080;26
31102;57
31158;33
31172;48
31226;33
31308;38
31315;34
31343;75
31391;38
31466;26
31468;33
31556;51
31609;44
31611;44
31816;36
31826;54
31900;12
31919;52
31948;49
31987;36
32034;50
32087;60
32122;24
32188;51
32250;29
32329;30
32516;44
32569;19
32599;17
32627;49
32721;36
32773;28
32793;22
33036;31
33200;44
33264;33
33270;36
33281;20
33283;26
33307;29
33319;24
33487;26
33580;27
33614;36
33681;47
33816;33
33818;29
33933;35
33974;24
33980;18
33999;51
34075;25
34215;28
34300;35
34377;54
34397;25
34501;46
34600;37
34752;26
34801;47
34864;39
34987;37
35030;26
35050;33
35320;24
35445;31
35532;37
35704;53
35718;32
35836;34
35841;27
35857;36
35953;37
36003;26
36200;54
36256;39
36299;50
36326;33
36554;48
36606;39
36609;32
36673;48
36741;24
36807;27
36811;51
36817;29
36836;56
36839;33
36907;39
37168;46
37208;30
37227;27
37288;36
37293;41
37310;33
37400;27
37426;55
37454;24
37512;27
37560;26
